Name,Acronym,Deadline,Conf Date,Core
"IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics",DISCOVER,31/05/2024,18/10/2024,
"First International Conference on Software, Systems and Information Technology",SSITCON,31/08/2024,18/10/2024,
International Conference on Machine Learning and Computer Application,ICMLCA,25/07/2024,18/10/2024,
International Conference on Artificial Intelligence of Things and Systems,AIoTSys,15/06/2024,18/10/2024,
International Conference on Communication and Information Systems,ICCIS,25/05/2024,18/10/2024,
International Conference on Mechanical Automation and Electronic Information Engineering,MAEIE,05/08/2024,18/10/2024,
"International Conference on Logistics Engineering, Supply Chain and Digital Transformation",LESCDT,30/06/2024,18/10/2024,
IEEE International Conference on  Technologies and Systems,DCTS,30/06/2024,19/10/2024,
"IEEE International Conference on Cybernetics, Cognition and Machine Learning Applications",ICCCMLA,31/03/2024,19/10/2024,
Novel Intelligent and Leading Emerging Sciences Conference,NILES,15/07/2024,19/10/2024,
IEEE International Conference on Computer Science and Network Technology,ICCSNT,20/08/2024,19/10/2024,
International Conference on Universal Village,UV,01/07/2024,19/10/2024,
IEEE Energy Conversion Congress and Exposition,ECCE,17/02/2025,19/10/2025,
IEEE Industry Applications Society Annual Meeting,IAS,31/03/2024,20/10/2024,National: USA
IEEE International Conference on Automation/ Congress of the Chilean Association of Automatic Control,ICA-ACCA,01/06/2024,20/10/2024,
Seminar on Power Electronics and Control,SEPOC,14/07/2024,20/10/2024,
International Conference on Advanced Semiconductor Devices and Microsystems,ASDAM,30/06/2024,20/10/2024,
IEEE Nanotechnology Materials and Devices Conference,NMDC,15/05/2025,12/10/2025,
International Radar Conference,RADAR,31/01/2024,21/10/2024,
International Conference on Sustainable Energy: Energy Transition and Net-Zero Climate Future,ICUE,15/04/2024,21/10/2024,
International Conference on 6G Networking,6GNet,13/05/2024,21/10/2024,
IEEE International Conference on Engineering Veracruz,ICEV,04/08/2024,21/10/2024,
IEEE International Symposium on Telecommunication Technologies,ISTT,15/07/2024,21/10/2024,
International Workshop on Variable Structure Systems,VSS,01/04/2024,21/10/2024,
"IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering",MetroXRAINE,15/03/2024,21/10/2024,
International Conference on Energy Transition in the Mediterranean Area,SyNERGY MED,29/04/2024,21/10/2024,
International Microwave and Antenna Symposium,IMAS,20/07/2024,21/10/2024,
ITU Kaleidoscope: Innovation and Digital Transformation for a Sustainable World,ITU K,20/05/2024,21/10/2024,
IEEE International Symposium on Emerging Metaverse,ISEMV,07/03/2024,21/10/2024,
International Conference on Information and Communication Technology,ICICT,01/07/2024,06/12/2024,
DGON Inertial Sensors and Applications,ISA,30/06/2024,22/10/2024,
IEEE Symposium on Computational Intelligence for Financial Engineering and Economics,CIFEr,30/04/2024,17/03/2025,
URSI Regional Conference on Radio Science,URSI-RCRS,09/07/2024,22/10/2024,
IEEE International Conference on Solid-State & Integrated Circuit Technology,ICSICT,30/06/2024,22/10/2024,
"International Microsystems, Packaging, Assembly and Circuits Technology Conference",IMPACT,23/06/2024,22/10/2024,
International Conference on Information Technology and Electrical Engineering,ICITEE,19/05/2024,23/10/2024,
"International Engineering, Sciences and Technology Conference",IESTEC,01/07/2024,23/10/2024,
"International Conference on Electrical Engineering, Computing Science and Automatic Control",CCE,12/07/2024,23/10/2024,
Conference of the European Study Group on Cardiovascular Oscillations,ESGCO,15/05/2024,23/10/2024,
International Conference on Advanced Scientific Computing,ICASC,01/08/2024,23/10/2024,
Antennas Design and Measurement International Conference,ADMInC,10/06/2024,23/10/2024,
International Conference on Data Analytics for Business and Industry,ICDABI,01/09/2024,23/10/2024,
IEEE International Symposium on Logistics and Industrial Informatics,LINDI,01/07/2024,23/10/2024,
International Conference on Self Sustainable Artificial Intelligence Systems,ICSSAS,22/06/2024,23/10/2024,
IEEE International Conference on Civil Aviation Safety and Information Technology,ICCASIT,31/07/2024,23/10/2024,
IEEE Global Humanitarian Technology Conference,GHTC,19/05/2024,23/10/2024,
"International Symposium on Antennas, Propagation and EM Theory",ISAPE,05/07/2024,23/10/2024,
IEEE International Symposium on Industrial Embedded Systems,SIES,11/06/2024,23/10/2024,
International Engineering Conference on Advances in Computer and Civil Engineering,IEC,26/08/2024,23/10/2024,
Sixth International Conference on Intelligent Computing in Data Sciences,ICDS,15/07/2024,23/10/2024,C
International Conference on Biomedical Engineering,IBIOMED,19/05/2024,23/10/2024,
"First International Conference on Innovations in Communications, Electrical and Computer Engineering",ICICEC,25/07/2024,24/10/2024,
International Conference on Applied and Theoretical Electricity,ICATE,31/05/2024,24/10/2024,
International Conference on Next Generation Computing Applications,NextComp,15/04/2024,24/10/2024,
International Conference on Emerging eLearning Technologies and Applications,ICETA,15/08/2024,24/10/2024,
IEEE Biomedical Circuits and Systems Conference,BioCAS,03/06/2024,24/10/2024,
IEEE International Conference on Adaptive Science and Technology,ICAST,21/06/2024,24/10/2024,
"International Conference on Computing, Sciences and Communications",ICCSC,15/05/2024,24/10/2024,
"International Conference on Internet of Everything, Microwave, Embedded, Communication and Networks",IEMECON,28/04/2024,24/10/2024,
International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,CyberC,15/06/2024,24/10/2024,
Asian Conference on Communication and Networks,ASIANComNet,31/08/2024,24/10/2024,
FORTEI-International Conference on Electrical Engineering,FORTEI-ICEE,24/07/2024,24/10/2024,
"IEEE Annual Information Technology, Electronics and Mobile Communication Conference",IEMCON,16/08/2024,24/10/2024,
"International Conference on Robotics, Control and Automation Engineering",RCAE,05/06/2024,25/10/2024,
International Conference on Smart Grid and Smart Cities,ICSGSC,10/06/2024,25/10/2024,
International Conference on Power and Renewable Energy Engineering,PREE,10/06/2024,25/10/2024,
IEEE International Conference on Software System and Information Processing,ICSSIP,15/05/2024,25/10/2024,
Global Conference on Communications and Information Technologies,GCCIT,06/05/2024,25/10/2024,
"International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering",ICBAIE,10/08/2024,25/10/2024,
Asian Conference on Frontiers of Power and Energy,ACFPE,30/06/2024,25/10/2024,
International Symposium on Sensor Technology and Control,ISSTC,15/08/2024,25/10/2024,
International Conference on Big Data and Information Analytics,BigDIA,10/08/2024,25/10/2024,
International Conference on Smart Grids and Energy Systems,SGES,10/08/2024,25/10/2024,
"International Conference on Electrical, Mechanical and Computer Engineering",ICEMCE,10/08/2024,25/10/2024,
IEEE PES Asia-Pacific Power and Energy Engineering Conference,APPEEC,10/04/2024,25/10/2024,
Wireless and Optical Communications Conference,WOCC,26/02/2024,25/10/2024,
International Conference on Intelligent Systems and Advanced Applications,ICISAA,20/04/2024,25/10/2024,
"International Conference on Artificial Intelligence, Metaverse and Cybersecurity",ICAMAC,03/09/2024,25/10/2024,
"International Conference on Mechanical, Control and Computer Engineering",ICMCCE,05/08/2024,25/10/2024,
"IEEE International Conference on Integrated Circuits, Technologies and Applications",ICTA,15/06/2024,25/10/2024,
IEEE International Symposium on Product Compliance Engineering - Asia,ISPCE-ASIA,14/09/2024,25/10/2024,
IEEE International Conference on Green Industrial Electronics and Sustainable Technologies,GIEST,10/07/2024,25/10/2024,
International Conference on Computer Science and Engineering,UBMK,01/08/2024,26/10/2024,
International Conference on Artificial Intelligence and Signal Processing,AISP,31/05/2024,26/10/2024,
"International Conference on Innovations in Science, Engineering and Technology",ICISET,06/05/2024,26/10/2024,
IEEE BiCMOS and Compound Semiconductor Integrated Circuits and Technology Symposium,BCICTS,09/05/2025,19/10/2025,
IEEE International Conference on Image Processing,ICIP,01/02/2024,27/10/2024,B
IEEE Annual Symposium on Foundations of Computer Science,FOCS,04/04/2024,27/10/2024,A*
IEEE International Conference on Image Processing Challenges and Workshops,ICIPCW,09/05/2024,27/10/2024,
ACM/IEEE International Conference On Computer Aided Design,ICCAD,20/12/2024,07/05/2025,A
IEEE/ACM International Conference on Automated Software Engineering,ASE,31/05/2024,,A*
International Conference of the Chilean Computer Science Society,SCCC,27/06/2024,28/10/2024,
IEEE International Conference on Signal Processing,ICSP,15/06/2024,28/10/2024,
"IEEE International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications",TPS-ISA,01/04/2024,28/10/2024,
IEEE International Conference on Cognitive Machine Intelligence,CogMI,01/04/2024,28/10/2024,
IEEE International Symposium on Software Reliability Engineering Workshops,ISSREW,28/07/2024,28/10/2024,
International Conference in Software Engineering Research and Innovation,CONISOFT,15/06/2024,,
Cyber Awareness and Research Symposium,CARS,15/05/2024,28/10/2024,
IEEE International Workshop on Metrology for Agriculture and Forestry,MetroAgriFor,10/06/2024,29/10/2024,
International Workshop on Fiber Optics in Access Networks,FOAN,30/06/2024,29/10/2024,
Conference on Cloud and Internet of Things,CIoT,07/07/2024,29/10/2024,
International Scientific and Technical Conference Modern Computer Network Technologies,MoNeTeC,01/05/2024,29/10/2024,
"International Conference on Control, Automation and Systems",ICCAS,31/05/2024,,
IEEE Nordic Circuits and Systems Conference,NorCAS,15/08/2024,29/10/2024,
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,01/07/2024,,C
"IEEE International Conference on Security, Privacy, Anonymity in Computation and Communication and Storage",SpaCCS,01/07/2024,,
"International Conference on Electrical, Communication and Computer Engineering",ICECCE,30/06/2024,30/10/2024,
Seventh International Conference on Vocational Education and Electrical Engineering,ICVEE,14/07/2024,30/10/2024,
Boao New Power System International Forum - Power System and New Energy Technology Innovation Forum,NPSIF,10/09/2024,,
International Conference on Materials and Energy: Energy in Electrical Engineering,ICOME-EE,21/03/2024,,
IEEE International Conference on Sustainable Computing and Communications,SustainCom,01/07/2024,,
IEEE International Conference on Social Computing and Networking,SocialCom,01/07/2024,,
IEEE International Conference on Data and Software Engineering,ICoDSE,05/09/2024,30/10/2024,
Conference of Open Innovations Association,FRUCT,09/09/2024,,Regional
International Workshop on Low Temperature Bonding for 3D Integration,LTB-3D,21/06/2024,,
IEEE International Multi-Conference on Smart Systems & Green Process,-SSGP,31/07/2024,,
International Automatic Control Conference,CACS,01/08/2024,,
"International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence",ICSMD,15/08/2024,,
"International Conference on Artificial Intelligence, Virtual Reality and Visualization",AIVRV,20/08/2024,01/11/2024,
International Workshop on Control Engineering and Advanced Algorithms,IWCEAA,15/08/2024,01/11/2024,
"IEEE International Conference on Anti-counterfeiting, Security, and Identification",ASID,10/07/2024,01/11/2024,
China Automation Congress,CAC,01/03/2024,01/11/2024,
"International Conference on Machine Learning, Big Data and Business Intelligence",MLBDBI,15/08/2024,01/11/2024,
IEEE International Conference on Energy Internet,ICEI,30/09/2024,20/11/2024,
"IEEE International Conference on Signal Processing, Information, Communication and Systems",SPICSCON,20/08/2024,01/11/2024,
"IEEE International Conference on Intelligent Systems, Smart and Green Technologies",ICISSGT,15/09/2024,02/11/2024,
"International Symposium of Systems, Advanced Technologies and Knowledge",ISSATK,15/07/2024,02/11/2024,
International Conference on Dependable Systems and Their Applications,DSA,15/08/2024,02/11/2024,
International Conference of the African Federation of Operational Research Societies,AFROS,10/06/2024,03/11/2024,
IEEE International Conference on E-Learning in Industrial Electronics,ICELIE,10/05/2025,14/10/2025,
IEEE International Conference on Consumer Electronics-Asia,ICCE-Asia,16/08/2024,03/11/2024,
IEEE/ACM International Workshop on Network on Chip Architectures,NoCArc,22/07/2024,03/11/2024,
International Conference on Embedded & Distributed Systems,EDiS,10/06/2024,03/11/2024,
"IEEE International Conference on Technology Management, Operations and Decisions",ICTMOD,01/07/2024,04/11/2024,
IEEE International Conference on Green Energy and Smart Systems,GESS,14/06/2024,04/11/2024,
IEEE Online Forum on Climate Change Technologies,OFCCT,01/08/2024,,
IEEE International Conference on Power System Technology,PowerCon,01/06/2024,04/11/2024,
IEEE Industrial Electronics and Applications Conference,IEACon,01/01/2025,08/09/2025,
IEEE Workshop on Signal Processing Systems,SiPS,04/04/2024,04/11/2024,
IEEE International Conference on Power and Energy,PECon,31/05/2024,04/11/2024,
IEEE Workshop on Wide Bandgap Power Devices & Applications,WiPDA,14/04/2025,10/11/2025,
"International Conference on Electrical, Computer, Communications and Mechatronics Engineering",ICECCME,20/04/2025,16/10/2025,
Cross Strait Radio Science and Wireless Technology Conference,CSRSWTC,15/08/2024,04/11/2024,
"Second International Conference on Big Data, IoT, Web Intelligence and Applications",BIWA,08/06/2024,05/11/2024,
International Conference on Power Engineering and Renewable Energy,ICPERE,06/07/2024,05/11/2024,
IEEE Conference on Cloud and Big Data Computing,CBDCom,15/06/2024,05/11/2024,
IEEE Conference on Pervasive and Intelligent Computing,PICom,15/06/2024,05/11/2024,
International Conference on Advanced Electrical Engineering,ICAEE,15/03/2024,05/11/2024,
IEEE Conference on Network Function Virtualization and Software Defined Networks,NFV-SDN,07/07/2024,05/11/2024,
IEEE Asia Pacific Conference on Communications,APCC,05/06/2024,05/11/2024,C
IEEE Cyber Science and Technology Congress,CyberSciTech,15/06/2024,05/11/2024,
International Conference on Knowledge and System Engineering,KSE,30/07/2024,05/11/2024,
International Symposium on Industrial Electronics and Applications,INDEL,01/06/2024,06/11/2024,
International Computer Science and Engineering Conference,ICSEC,14/06/2024,06/11/2024,
International Conference on Recent Advances in Information Technology for Sustainable Development,ICRAIS,10/07/2024,06/11/2024,
IEEE Latin-American Conference on Communications,LATINCOM,26/07/2024,06/11/2024,
"IEEE  International Conference on Electronics, Electrical Engineering and Computing",INTERCON,02/06/2024,06/11/2024,
Power Electronics and Power System Conference,PEPSC,10/07/2024,06/11/2024,
"International Conference on Electronics, Communication and Aerospace Technology",ICECA,03/08/2024,06/11/2024,
International Conference on Advances in Computing and Communications,ICACC,31/07/2024,06/11/2024,
International Conference on Development in eSystem Engineering,DeSE,01/07/2024,06/11/2024,C
IEEE International Conference on Recent Advances in Systems Science and Engineering,RASSE,15/07/2024,06/11/2024,
Iberian Robotics Conference,ROBOT,20/07/2024,06/11/2024,
International Conference on Information Technology Based Higher Education and Training,ITHET,01/06/2024,06/11/2024,
International Conference on Smart Technologies for Sustainable Development Goals,ICSTSDG,01/08/2024,06/11/2024,
IEEE Student Conference on Electric Machines and Systems,SCEMS,10/05/2024,06/11/2024,
International Congress of Biomedical Engineering and Bioengineering,CIIBBI,14/06/2024,06/11/2024,
International Conference on Intelligent Education and Intelligent Research,IEIR,01/08/2024,06/11/2024,
IEEE China International Youth Conference on Electrical Engineering,CIYCEE,15/07/2024,06/11/2024,
International Conference on Cyber Security and Computing,CyberComp,01/09/2023,06/11/2024,
"International Conference on Internet Applications, Protocols, and Services",NETAPPS,02/07/2024,06/11/2024,
IEEE Asia Pacific Conference on Circuits and Systems,APCCAS,20/06/2024,07/11/2024,
International Symposium on Multidisciplinary Studies and Innovative Technologies,ISMSIT,01/08/2024,07/11/2024,
"Third International Conference on Trends in Electrical, Electronics, and Computer Engineering",TEECCON,01/09/2024,07/11/2024,
International Conference on Information Science and Communications Technologies,ICISCT,01/06/2024,07/11/2024,
IEEE Symposium on Reliability for Electronics and Photonics Packaging,REPP,15/08/2024,07/11/2024,
IEEE Women in Engineering,WIE Forum USA East,24/07/2024,07/11/2024,
International Symposium on Electronics and Telecommunications,ISETC,31/08/2024,07/11/2024,
International Conference on Artificial Intelligence and Computer Engineering,ICAICE,20/08/2024,08/11/2024,
CPSS & IEEE International Symposium on Energy Storage and Conversion,ISESC,30/06/2024,08/11/2024,
International Conference on Information Systems and Computing Technology,ISCTech,20/07/2024,08/11/2024,
IEEE Western New York Image and Signal Processing Workshop,WNYISPW,11/10/2024,08/11/2024,
International Conference on Artificial Intelligence and Automation Control,AIAC,20/08/2024,08/11/2024,
Asian Conference on Artificial Intelligence Technology,ACAIT,16/06/2024,08/11/2024,
International Conference on New Energy and Power Engineering,ICNEPE,09/08/2024,08/11/2024,
International Conference on Frontier Technologies of Information and Computer,ICFTIC,15/08/2024,08/11/2024,
"International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology",CEI,20/08/2024,08/11/2024,
International Conference on Cyber-Physical Social Intelligence,ICCSI,31/05/2024,08/11/2024,
IEEE International Conference on Aerospace Electronics and Remote Sensing Technology,ICARES,25/08/2024,08/11/2024,
"International Conference on Networking, Architecture and Storage",NAS,15/07/2024,09/11/2024,
IEEE EMBS International Conference on Biomedical and Health Informatics,BHI,15/05/2024,10/11/2024,
IEEE Photonics Conference,IPC,05/06/2024,10/11/2024,
IEEE PES Innovative Smart Grid Technologies - Asia,ISGT Asia,30/04/2024,10/11/2024,
International Conference on Electric Power Equipment - Switching Technology,ICEPE-ST,31/03/2024,10/11/2024,
International Symposium on Information Theory and Its Applications,ISITA,30/04/2024,10/11/2024,C
IEEE International Workshop on Technologies for Defense and Security,TechDefense,30/06/2024,11/11/2024,
"International Conference on Control, Mechatronics and Automation",ICCMA,15/05/2024,11/11/2024,
International Conference on Collaborative Advances in Software and COmputiNg,CASCON,10/06/2024,11/11/2024,
SBFoton International Optics and Photonics Conference,SBFoton IOPC,19/07/2024,11/11/2024,
"IEEE International Autumn Meeting on Power, Electronics and Computing",ROPEC,03/06/2024,11/11/2024,
"IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition",GTDLA,03/06/2024,11/11/2024,
World Conference on Complex Systems,WCCS,31/05/2024,11/11/2024,
Latin American Robotics Symposium,LARS,17/06/2024,11/11/2024,
"International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications",ICRAMET,14/06/2024,12/11/2024,
International Conference on Electric Power and Energy Conversion Systems,EPECS,31/05/2024,12/11/2024,
IEEE International Symposium on Safety Security Rescue Robotics,SSRR,31/05/2024,12/11/2024,
IEEE Sustainable Smart Lighting World Conference & Expo,LS24,19/07/2024,12/11/2024,
International Conference on Signal Processing and Information Security,ICSPIS,21/10/2024,25/12/2024,
IEEE Women in Technology Conference,WINTECHCON,03/06/2024,12/11/2024,
IEEE International Conference on Industrial Systems and Processes,SPIn,15/05/2024,12/11/2024,
IEEE World Technology Summit on AI Infrastructure,WTS,01/02/2024,12/11/2024,
IEEE Physical Assurance and Inspection of Electronics,PAINE,02/08/2024,12/11/2024,
"Dynamics of Systems, Mechanisms and Machines",Dynamics,05/08/2024,12/11/2024,
Conference on Design of Circuits and Integrated Systems,DCIS,31/05/2024,13/11/2024,
International Conference on Technological Advancements in Computational Sciences,ICTACS,20/08/2024,13/11/2024,
IEEE CPMT Symposium Japan,ICSJ,31/05/2024,13/11/2024,
International Symposium on Medical Information Processing and Analysis,SIPAIM,11/07/2024,13/11/2024,
"International Conference on Communication, Image and Signal Processing",CCISP,15/07/2024,13/11/2024,
International Conference on Innovations in Computer Science,ICONICS,25/07/2024,13/11/2024,
IEEE International Scientific Conference on Informatics,Informatics,15/04/2024,13/11/2024,National:Slovakia
"International Mobile, Intelligent, and Ubiquitous Computing Conference",MIUCC,19/09/2024,13/11/2024,
IEEE East-West Design & Test Symposium,EWDTS,01/06/2024,13/11/2024,
Intelligent Technologies and Electronic Devices in Vehicle and Road Transport Complex,TIRVED,30/08/2024,13/11/2024,
"International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency",SUMMA,08/09/2024,13/11/2024,
International Conference on Information Technology,InCIT,01/02/2025,27/05/2025,
IEEE International Conference on Smart Internet of Things,SmartIoT,01/08/2024,14/11/2024,
E-Health and Bioengineering Conference,EHB,01/10/2024,14/11/2024,
First International Conference for Women in Computing,InCoWoCo,15/08/2024,14/11/2024,
IEEE International Conference on Medical Artificial Intelligence,MedAI,31/05/2024,15/11/2024,
Asia Power and Electrical Technology Conference,APET,10/06/2024,15/11/2024,
International Conference on Advanced Control Systems and Automation Technologies,ACSAT,31/08/2024,15/11/2024,
IEEE Silchar Subsection Conference,SILCON,01/07/2024,15/11/2024,
International HCI and UX Conference in Indonesia,CHIuXiD,02/09/2024,15/11/2024,
International Conference on Electronic Information Engineering and Computer,EIECT,20/08/2024,15/11/2024,
"IEEE International Conference on Problems of Informatics, Electronics and Radio Engineering",PIERE,14/09/2024,15/11/2024,
International Symposium on Ultrafast Phenomena and Terahertz Waves,ISUPTW,10/08/2024,15/11/2024,
Second International Conference Computational and Characterization Techniques in Engineering & Sciences,IC3TES,01/02/2024,15/11/2024,
International Symposium on Wireless Personal Multimedia Communications,WPMC,02/07/2024,17/11/2024,
Asia-Pacific Microwave Conference,APMC,07/07/2024,17/11/2024,
IEEE Middle East Conference on Communications and Networking,MECOM,03/06/2024,17/11/2024,
IEEE Asian Solid-State Circuits Conference,A-SSCC,10/06/2024,18/11/2024,
IEEE Design Methodologies Conference,,31/03/2025,09/12/2025,
International Conference on Information and Communication Technology for Development for Africa,ICT4DA,10/06/2024,18/11/2024,
"IEEE International Conference on Micro and Miniature Power Systems, Self-Powered Sensors and Energy Autonomous Devices",PowerMEMS,16/07/2024,18/11/2024,
China International Forum on Solid State Lighting & International Forum on Wide Bandgap Semiconductors,SSLCHINA: IFWS,15/08/2024,18/11/2024,
"IEEE International Conference on E-health Networking, Application & Services",HealthCom,25/05/2024,18/11/2024,C
"IEEE International Conference on Electronics, Circuits and Systems",ICECS,03/06/2024,18/11/2024,
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,03/06/2024,18/11/2024,C
International Conference on Future Communications and Networks,FCN,01/07/2024,18/11/2024,
International Conference on Information and Communication Technologies for Disaster Management,ICT-,30/04/2024,19/11/2024,
IEEE International Conference on Smart Mechatronics,ICSMech,31/07/2024,19/11/2024,
IEEE International Symposium on Computational Intelligence and Informatics,CINTI,02/08/2024,19/11/2024,
IEEE International Workshop on Wireless Sensing Technologies and Applications,IWSA,30/07/2024,19/11/2024,
International Conference on Emerging Technologies,ICET,20/01/2025,17/05/2025,
IEEE Global Conference on Artificial Intelligence and Internet of Things,GCAIoT,15/07/2024,19/11/2024,
"International Conference on Computer Engineering, Network, and Intelligent Multimedia",CENIM,19/08/2024,19/11/2024,
IEEE International Conference on Engineering Education,ICEED,01/05/2024,19/11/2024,
IEEE Workshop on the Electronic Grid,eGRID,01/04/2025,19/11/2024,
"International Conference on the Challenges, Opportunities, Innovations and Applications in Electronic Textiles",E-Textiles,30/06/2024,19/11/2024,
International Conference on ICT and Knowledge Engineering,ICT&KE,30/06/2024,20/11/2024,
"International Conference on Communications, Information, Electronic and Energy Systems",CIEES,14/09/2024,20/11/2024,
International Conference on Advances in Engineering Science and Technology,AEST,15/05/2024,20/11/2024,
International Conference on System Reliability and Safety,ICSRS,05/07/2024,20/11/2024,
"International Conference on Informatics, Multimedia, Cyber and Information System",ICIMCIS,01/04/2024,20/11/2024,
International Conference on Digital Society and Intelligent Systems,DSInS,15/09/2024,20/11/2024,
IEEE International Conference on Cyborg and Bionic Systems,CBS,31/05/2024,20/11/2024,
IEEE Australasian Universities Power Engineering Conference,AUPEC,30/06/2024,20/11/2024,
IEEE International Conference on Engineering Technologies and Applied Sciences,ICETAS,31/07/2024,20/11/2024,
International Conference on Advancements and Key Challenges in Green Energy and Computing,AKGEC,15/07/2024,21/11/2024,
International Conference on Recent Advances in Science and Engineering Technology,ICRASET,26/07/2024,21/11/2024,
National Conference with International Participation,TELECOM,21/10/2024,21/11/2024,
International Workshop on Semantic and Social Media Adaptation & Personalization,SMAP,01/06/2024,21/11/2024,
"International Conference on Control, Robotics and Cybernetics",CRC,05/07/2024,21/11/2024,
International Conference on Innovative Intelligent Industrial Production and Logistics,IFAC/INSTICC IN4PL,03/06/2024,21/11/2024,
Biomedical Engineering International Conference,BMEiCON,30/08/2024,21/11/2024,
International Conference on Emerging Frontiers in Electrical and Electronic Technologies,ICEFEET,14/09/2024,21/11/2024,
International Conference on Intelligent Informatics and Biomedical Sciences,ICIIBMS,30/06/2024,21/11/2024,
International Conference on Big Data Analytics in Bioinformatics,DABCon,30/06/2024,21/11/2024,
"IEEE International Meeting for Future of Electron Devices, Kansai",IMFEDK,07/09/2024,21/11/2024,
"International Conference on Electrical, Telecommunication and Computer Engineering",ELTICOM,31/07/2024,21/11/2024,
IEEE Academic International Symposium on Optoelectronics and Microelectronics Technology,AISOMT,10/09/2024,21/11/2024,
Edition of IEEE Delhi Section Flagship Conference,DELCON,05/08/2024,21/11/2024,
IEEE International Conference on Advanced Trends in Information Theory,ATIT,10/08/2024,21/11/2024,
IEEE-RAS International Conference on Humanoid Robots,Humanoids,01/07/2024,22/11/2024,
"IEEE International Conference on Signal, Information and Data Processing",ICSIDP,30/06/2024,22/11/2024,
International Conference on Advancement in Electronics & Communication Engineering,AECE,20/01/2024,22/11/2024,
"IEEE International Conference on Electrical Engineering, Computer and Information Technology",ICEECIT,31/08/2024,22/11/2024,
International Conference on Integrated Intelligence and Communication Systems,ICIICS,30/08/2024,22/11/2024,
IEEE International Conference on Data Science and Computer Application,ICDSCA,30/08/2024,22/11/2024,
International Symposium on Micro-NanoMehatronics and Human Science,MHS,31/07/2024,22/11/2024,
International Forum on Electrical Engineering and Automation,IFEEA,30/08/2024,22/11/2024,
"International Conference on Advances in Computing, Communication and Materials",ICACCM,20/08/2024,22/11/2024,
"International Conference on Computing, Semiconductor, Mechatronics, Intelligent Systems and Communications",COSMIC,28/06/2024,22/11/2024,
International Conference on Smart Grid and Energy Engineering,SGEE,05/09/2024,22/11/2024,
IEEE PhD Colloquium on Emerging Domain Innovation and Technology for Society,PhD EDITS,25/09/2024,22/11/2024,
International Conference on Soft Computing & Machine Intelligence,ISCMI,30/06/2024,22/11/2024,
International Conference on Emerging Trends in Engineering and Medical Sciences,ICETEMS,10/07/2024,22/11/2024,
IEEE International Conference on Condition Assessment Techniques in Electrical Systems,CATCON,31/05/2024,22/11/2024,
"Third International Conference on Sustainable Mobility Applications, Renewables and Technology",SMART,20/09/2024,06/12/2024,
"International Conference on IoT, Communication and Automation Technology",ICICAT,01/02/2024,23/11/2024,
IEEE First International Conference on Data Intelligence and Innovative Application,DIIA,30/06/2024,23/11/2024,
International Conference on Intelligent Computing and Next Generation Networks,ICNGN,05/09/2024,23/11/2024,
"International Conference on Electrical, Control and Instrumentation Engineering",ICECIE,30/07/2024,23/11/2024,
International Conference on Intelligent Computing and Emerging Communication Technologies,ICEC,01/01/2024,23/11/2024,C
IEEE Sustainable Power and Energy Conference,iSPEC,30/06/2024,24/11/2024,
"International Conference on Computer, Vision and Intelligent Technology",ICCVIT,20/08/2024,24/11/2024,
IEEE All-Russian Microwave Conference,RMC,01/10/2024,25/11/2024,
International Conference on Advanced Information Scientific Development,ICAISD,31/07/2024,25/11/2024,
International Conference on Emerging Technologies for Dependable Internet of Things,ICETI,05/09/2024,25/11/2024,
Cyber Research Conference - Ireland,Cyber-RCI,13/09/2024,25/11/2024,
"Sensor Data Fusion: Trends, Solutions, Applications",SDF,12/08/2024,25/11/2024,
International Workshop on Resilient Networks Design and Modeling,RNDM,29/07/2024,25/11/2024,
International Conference on Intelligent & Innovative Practices in Engineering & Management,IIPEM,14/09/2024,25/11/2024,
International Conference on Intelligent Metaverse Technologies & Applications,iMETA,30/05/2024,26/11/2024,
International Conference on Advanced Mechatronic Systems,ICAMechS,10/09/2024,26/11/2024,
International Electric Drives Production Conference,EDPC,31/05/2024,26/11/2024,
International Conference on Sustainable Islamic Business and Finance,SIBF,10/10/2024,26/11/2024,
"International Conference on Emerging Trends in Electrical, Control, and Telecommunication Engineering",ETECTE,31/08/2024,26/11/2024,
International Conference on Electrical Machines and Systems,ICEMS,29/03/2024,26/11/2024,
International Conference on Blockchain Computing and Applications,BCCA,15/03/2024,26/11/2024,
IEEE International Conference on Electro-Computing Technologies for Humanity,NIGERCON,13/08/2024,26/11/2024,
International Conference on Foundation and Large Language Models,FLLM,15/06/2024,26/11/2024,
"International Conference on Control, Automation and Information Sciences",ICCAIS,15/07/2024,26/11/2024,
"IEEE International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management",HNICEM,31/08/2024,26/11/2024,
